日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20260531,9241,フューチャーリンクネットワーク,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260531,9242,メディア総研,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260531,9243,富士テクノホールディングス,PRO Market,9050,サービス業,10,情報通信・サービスその他,-,-
20260531,9244,デジタリフト,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260531,9245,リベロ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260531,9246,プロジェクトホールディングス,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260531,9247,ＴＲＥホールディングス,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,6,TOPIX Small 1
20260531,9248,人・夢・技術グループ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20260531,9249,日本エコシステム,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260531,9250,ＧＲＣＳ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260531,9251,ＡＢ＆Ｃｏｍｐａｎｙ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260531,9252,ラストワンマイル,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260531,9253,スローガン,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260531,9254,ラバブルマーケティンググループ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260531,9256,サクシード,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260531,9257,ＹＣＰホールディングス（グローバル）リミテッド　ＪＤＲ,グロース（外国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260531,9258,ＣＳ－Ｃ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260531,9259,タカヨシホールディングス,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260531,9262,シルバーライフ,スタンダード（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20260531,9264,ポエック,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20260531,9265,ヤマシタヘルスケアホールディングス,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20260531,9267,Ｇｅｎｋｙ　ＤｒｕｇＳｔｏｒｅｓ,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20260531,9268,オプティマスグループ,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20260531,9270,バリュエンスホールディングス,グロース（内国株式）,6050,卸売業,13,商社・卸売,-,-
20260531,9271,和心,グロース（内国株式）,6100,小売業,14,小売,-,-
20260531,9272,ブティックス,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260531,9273,コーア商事ホールディングス,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
